OrderID,CustomerName,Product,Region,Sales,Profit,Quantity,OrderDate,Salesperson
1047,Aisha Khan,SSD,North,847.56,103.02,6,2026-06-26,Neha Singh
1048,Lakshmi Devi,Laptop,South,4272.78,613.98,3,2026-01-11,Rohit Verma
1049,Harish Kumar,Laptop,North,3267.21,522.51,3,2026-04-01,Karthik Rao
1050,Mohan Gupta,Webcam,South,887.05,237.84,5,2026-02-11,Neha Singh
1051,Mohan Gupta,Webcam,West,80.49,21.56,1,2026-06-21,Shalini Gupta
1052,Bhavana Reddy,Monitor,West,692.82,160.88,3,2026-01-10,Pooja Mehta
1053,Deepak Nair,Monitor,South,1167.56,293.39,4,2026-02-27,Amit Kumar
1054,Pooja Sharma,Monitor,East,1140.16,294.5,4,2026-03-31,Shalini Gupta
1055,Pavan Kumar,Webcam,North,1300.8,267.7,6,2026-01-30,Rohit Verma
1056,Anjali Gupta,Printer,East,182.52,34.59,1,2026-04-22,Karthik Rao
1057,Pavan Kumar,Mouse,North,331.88,49.92,4,2026-04-22,Amit Kumar
1058,Pavan Kumar,SSD,South,1180.14,281.71,6,2026-04-04,Pooja Mehta
1059,Arjun Patel,Headphones,East,419.75,107.32,5,2026-05-10,Rohit Verma
1060,Pooja Sharma,Webcam,South,355.23,59.43,3,2026-02-19,Pooja Mehta
1061,Pooja Sharma,Webcam,East,1063.08,157.17,6,2026-04-14,Karthik Rao
1062,Ajay Patel,Laptop,East,3474.66,655.95,3,2026-04-30,Pooja Mehta
1063,Aisha Khan,Monitor,South,1657.1,437.79,5,2026-06-18,Amit Kumar
1064,Suresh Babu,SSD,South,1081.56,187.79,6,2026-06-22,Rohit Verma
1065,Deepak Nair,Monitor,West,375.64,59.79,2,2026-06-06,Amit Kumar
1066,Aisha Khan,Webcam,West,887.16,208.43,6,2026-05-07,Pooja Mehta
1067,Deepak Nair,Keyboard,North,693.84,182.36,6,2026-04-19,Neha Singh
1068,Anjali Gupta,SSD,North,278.16,44.47,4,2026-04-27,Neha Singh
1069,Bhavana Reddy,Tablet,East,3730.74,781.32,6,2026-04-24,Karthik Rao
1070,Ajay Patel,SSD,South,871.24,180.92,4,2026-05-02,Pooja Mehta
1071,Meera Iyer,Monitor,West,1612.44,394.13,6,2026-06-10,Neha Singh
1072,Meera Iyer,Tablet,East,749.48,118.06,1,2026-03-23,Karthik Rao
1073,Arjun Patel,Keyboard,South,130.88,30.24,2,2026-01-17,Pooja Mehta
1074,Naveen Rao,Headphones,West,526.15,68.38,5,2026-04-10,Karthik Rao
1075,Tejas Rao,Laptop,East,6211.7,751.26,5,2026-03-18,Pooja Mehta
1076,Keerthi Rao,Webcam,South,885.4,183.62,5,2026-05-05,Neha Singh
1077,Meera Iyer,Webcam,West,219.72,38.18,4,2026-02-12,Pooja Mehta
1078,Sonia Das,Keyboard,North,493.75,130.9,5,2026-01-22,Shalini Gupta
1079,Naveen Rao,Keyboard,East,239.96,38.78,4,2026-02-24,Pooja Mehta
1080,Kavya Rani,Headphones,West,315.84,85.97,4,2026-03-06,Amit Kumar
1081,Rohan Das,Laptop,East,8312.88,2327.48,6,2026-02-27,Shalini Gupta
1082,Arjun Patel,Laptop,North,1754.65,266.53,1,2026-06-09,Neha Singh
1083,Deepak Nair,Keyboard,South,454.56,95.56,4,2026-04-30,Shalini Gupta
1084,Meera Iyer,Headphones,North,249.64,68.45,2,2026-02-11,Rohit Verma
1085,Sneha Rao,Laptop,West,4254.66,1128.69,3,2026-04-12,Shalini Gupta
1086,Kiran Naidu,Mouse,North,341.7,75.3,5,2026-06-28,Rohit Verma
1087,Keerthi Rao,Mouse,West,373.9,65.64,5,2026-06-19,Rohit Verma
1088,Arjun Patel,SSD,West,748.98,191.69,6,2026-01-28,Pooja Mehta
1089,Harish Kumar,Tablet,East,2142.54,317.49,6,2026-06-07,Karthik Rao
1090,Rakesh Kumar,Tablet,East,2219.6,525.97,4,2026-03-24,Neha Singh
1091,Ajay Patel,Mouse,West,245.13,38.98,3,2026-05-26,Karthik Rao
1092,Pooja Sharma,Webcam,South,164.64,42.17,3,2026-05-05,Neha Singh
1093,Harish Kumar,Printer,East,701.7,151.14,3,2026-05-23,Amit Kumar
1094,Pavan Kumar,Monitor,South,257.23,47.59,1,2026-06-26,Pooja Mehta
1095,Nikhil Verma,Tablet,South,3220.2,434.37,4,2026-04-14,Shalini Gupta
1096,Deepak Nair,Printer,East,1946.82,381.03,6,2026-04-19,Shalini Gupta
1097,Lakshmi Devi,Headphones,East,415.2,67.82,3,2026-03-01,Amit Kumar
1098,Anita Singh,Monitor,South,654.78,134.71,3,2026-02-19,Neha Singh
1099,Anita Singh,Tablet,East,2271.63,627.55,3,2026-01-26,Neha Singh
1100,Suresh Babu,Monitor,South,712.26,87.08,3,2026-03-12,Amit Kumar
1101,Priya Reddy,SSD,West,577.53,80.97,3,2026-01-27,Amit Kumar
1102,Manish Yadav,Printer,North,1174.44,204.95,4,2026-03-06,Pooja Mehta
1103,Sneha Rao,Mouse,North,217.68,46.22,4,2026-02-08,Neha Singh
1104,Bhavana Reddy,Printer,West,448.18,62.28,1,2026-06-05,Karthik Rao
1105,Bhavana Reddy,Monitor,East,1508.6,400.32,5,2026-05-31,Pooja Mehta
1106,Suresh Babu,Laptop,South,8820.5,1198.51,5,2026-06-10,Neha Singh
1107,Meera Iyer,Mouse,South,73.58,15.33,2,2026-01-01,Pooja Mehta
1108,Aisha Khan,Tablet,East,818.55,135.96,3,2026-06-29,Pooja Mehta
1109,Arjun Patel,Monitor,South,1296.3,285.2,3,2026-04-19,Amit Kumar
1110,Lakshmi Devi,Monitor,South,1366.08,221.99,6,2026-01-19,Amit Kumar
1111,Anjali Gupta,Printer,East,1873.45,395.43,5,2026-04-23,Amit Kumar
1112,Aisha Khan,Printer,West,1624.5,265.7,6,2026-04-23,Amit Kumar
1113,Swathi Reddy,Laptop,North,6244.32,1352.48,4,2026-01-24,Neha Singh
1114,Pooja Sharma,Laptop,South,9835.68,2087.13,6,2026-05-01,Karthik Rao
1115,Nikhil Verma,Tablet,West,1131.12,241.67,3,2026-01-24,Pooja Mehta
1116,Harish Kumar,Webcam,South,313.74,42.9,3,2026-03-26,Pooja Mehta
1117,Tejas Rao,Tablet,North,2141.43,394.18,3,2026-04-27,Amit Kumar
1118,Kavya Rani,Printer,North,554.34,135.04,3,2026-06-18,Karthik Rao
1119,Aisha Khan,Webcam,West,81.89,14.57,1,2026-06-10,Pooja Mehta
1120,Rakesh Kumar,Laptop,East,2280.7,321.49,2,2026-04-23,Shalini Gupta
1121,Rohan Das,Mouse,South,88.12,19.16,1,2026-02-10,Rohit Verma
1122,Lakshmi Devi,Laptop,North,6335.95,988.1,5,2026-04-29,Amit Kumar
1123,Nikhil Verma,Keyboard,East,570.36,95.08,4,2026-04-17,Pooja Mehta
1124,Rohan Das,Monitor,South,1425.6,258.57,4,2026-01-18,Rohit Verma
1125,Rakesh Kumar,Webcam,North,626.46,126.07,3,2026-03-14,Shalini Gupta
1126,Suresh Babu,Tablet,East,1125.16,222.21,2,2026-05-22,Karthik Rao
1127,Divya Menon,Tablet,South,2576.16,713.4,3,2026-05-27,Pooja Mehta
1128,Deepak Nair,Webcam,West,104.09,20.37,1,2026-04-09,Shalini Gupta
1129,Bhavana Reddy,Keyboard,East,584.52,81.95,4,2026-01-26,Pooja Mehta
1130,Sneha Rao,SSD,South,251.68,36.01,4,2026-01-20,Pooja Mehta
1131,Bhavana Reddy,Printer,North,1010.94,185.61,3,2026-03-26,Shalini Gupta
1132,Keerthi Rao,SSD,West,965.16,212.61,4,2026-05-19,Amit Kumar
1133,Swathi Reddy,Mouse,South,128.36,34.32,2,2026-01-24,Pooja Mehta
1134,Sneha Rao,Mouse,North,126.6,21.26,4,2026-01-12,Rohit Verma
1135,Bhavana Reddy,Laptop,South,3667.86,692.9,3,2026-05-16,Pooja Mehta
1136,Manish Yadav,Keyboard,West,118.52,25.78,2,2026-06-08,Shalini Gupta
1137,Deepak Nair,Tablet,East,1750.9,339.3,5,2026-04-28,Rohit Verma
1138,Pooja Sharma,Laptop,South,6844.36,1563.37,4,2026-01-19,Pooja Mehta
1139,Harish Kumar,Printer,West,2631.66,606.47,6,2026-03-19,Neha Singh
1140,Divya Menon,Tablet,East,416.04,88.0,1,2026-06-29,Rohit Verma
1141,Rahul Sharma,Webcam,North,154.14,39.83,3,2026-06-05,Shalini Gupta
1142,Rohan Das,Printer,South,664.24,117.15,2,2026-06-08,Rohit Verma
1143,Pooja Sharma,Keyboard,North,304.14,67.03,6,2026-03-21,Pooja Mehta
1144,Priya Reddy,Headphones,East,350.4,93.05,6,2026-04-17,Neha Singh
1145,Kiran Naidu,Keyboard,East,682.05,121.77,5,2026-02-12,Rohit Verma
1146,Sonia Das,Tablet,North,2317.77,403.74,3,2026-04-30,Amit Kumar
1147,Vikram Joshi,Monitor,East,2470.5,683.81,6,2026-01-24,Pooja Mehta
1148,Rahul Sharma,Printer,East,935.4,167.41,5,2026-05-30,Pooja Mehta
1149,Ajay Patel,Headphones,East,134.48,26.28,1,2026-06-06,Neha Singh
1150,Nikhil Verma,Mouse,East,466.02,123.73,6,2026-06-16,Pooja Mehta
1151,Sneha Rao,Keyboard,West,144.09,24.31,1,2026-01-30,Amit Kumar
1152,Deepak Nair,SSD,West,267.68,48.01,2,2026-05-31,Shalini Gupta
1153,Anita Singh,Keyboard,West,448.16,113.56,4,2026-03-13,Amit Kumar
1154,Tejas Rao,Headphones,East,204.14,55.54,2,2026-01-26,Shalini Gupta
1155,Harish Kumar,SSD,South,768.9,141.25,6,2026-02-01,Pooja Mehta
1156,Arjun Patel,Monitor,North,2307.84,635.52,6,2026-03-27,Neha Singh
1157,Vikram Joshi,Monitor,South,445.54,92.97,1,2026-03-01,Rohit Verma
1158,Rakesh Kumar,Keyboard,South,201.55,51.87,5,2026-02-03,Karthik Rao
1159,Meera Iyer,Keyboard,North,112.72,13.99,1,2026-04-02,Neha Singh
1160,Manish Yadav,Headphones,West,64.39,8.27,1,2026-05-15,Amit Kumar
1161,Anita Singh,Mouse,North,205.52,36.57,4,2026-04-26,Karthik Rao
1162,Deepak Nair,Laptop,East,9629.4,2491.29,6,2026-04-28,Shalini Gupta
1163,Rahul Sharma,Laptop,North,6650.28,1251.61,4,2026-05-06,Shalini Gupta
1164,Sonia Das,Tablet,South,879.49,150.87,1,2026-01-17,Neha Singh
1165,Meera Iyer,SSD,East,730.74,203.98,6,2026-04-27,Karthik Rao
1166,Swathi Reddy,Webcam,South,184.83,25.56,1,2026-04-21,Pooja Mehta
1167,Mohan Gupta,Monitor,West,1153.84,222.18,4,2026-01-25,Rohit Verma
1168,Naveen Rao,Headphones,West,454.08,123.77,6,2026-01-18,Amit Kumar
1169,Ajay Patel,Mouse,East,50.23,12.01,1,2026-02-03,Karthik Rao
1170,Priya Reddy,SSD,East,613.15,85.57,5,2026-06-20,Pooja Mehta
1171,Keerthi Rao,Laptop,South,4321.11,761.65,3,2026-02-09,Shalini Gupta
1172,Rohan Das,Monitor,North,292.04,61.04,1,2026-03-13,Karthik Rao
1173,Deepak Nair,Webcam,North,1078.35,270.61,5,2026-06-05,Shalini Gupta
1174,Ajay Patel,Printer,East,204.12,47.44,1,2026-03-28,Rohit Verma
1175,Rahul Sharma,Keyboard,South,204.6,37.67,2,2026-06-12,Amit Kumar
1176,Arjun Patel,SSD,South,262.96,50.64,2,2026-04-05,Rohit Verma
1177,Anita Singh,Headphones,South,617.35,161.34,5,2026-02-10,Karthik Rao
1178,Priya Reddy,Mouse,West,153.06,28.75,3,2026-04-17,Rohit Verma
1179,Kiran Naidu,SSD,West,125.58,17.3,1,2026-05-15,Shalini Gupta
1180,Suresh Babu,Laptop,North,2511.48,542.21,2,2026-02-22,Rohit Verma
1181,Kiran Naidu,Keyboard,West,215.52,30.0,3,2026-04-21,Neha Singh
1182,Vikram Joshi,Webcam,East,848.1,169.66,5,2026-01-19,Pooja Mehta
1183,Keerthi Rao,Laptop,East,3667.48,980.63,4,2026-05-28,Pooja Mehta
1184,Manish Yadav,Webcam,West,952.92,158.49,6,2026-01-06,Rohit Verma
1185,Anjali Gupta,Tablet,North,5363.04,719.19,6,2026-03-04,Pooja Mehta
1186,Manish Yadav,Webcam,East,316.85,82.15,5,2026-02-26,Rohit Verma
1187,Rakesh Kumar,Keyboard,South,96.15,13.29,1,2026-03-31,Rohit Verma
1188,Anita Singh,Keyboard,South,102.62,16.52,2,2026-06-04,Neha Singh
1189,Rakesh Kumar,Mouse,West,173.18,38.18,2,2026-05-25,Karthik Rao
1190,Aisha Khan,Headphones,West,505.56,96.24,6,2026-04-24,Shalini Gupta
1191,Suresh Babu,Printer,East,834.25,167.83,5,2026-04-29,Pooja Mehta
1192,Priya Reddy,Laptop,North,4945.59,654.19,3,2026-06-07,Karthik Rao
1193,Pavan Kumar,Webcam,North,594.64,162.14,4,2026-04-26,Karthik Rao
1194,Nikhil Verma,Monitor,North,1120.8,224.41,3,2026-04-26,Amit Kumar
1195,Bhavana Reddy,Headphones,North,310.86,69.44,6,2026-03-05,Shalini Gupta
1196,Aisha Khan,Tablet,East,3079.6,447.77,5,2026-03-14,Pooja Mehta
1197,Naveen Rao,Headphones,East,742.2,182.79,6,2026-01-17,Rohit Verma
1198,Sneha Rao,SSD,South,800.7,128.37,6,2026-03-27,Amit Kumar
1199,Manish Yadav,Keyboard,West,222.39,50.03,3,2026-02-03,Karthik Rao
1200,Tejas Rao,Mouse,East,177.36,39.54,3,2026-02-02,Shalini Gupta
1201,Tejas Rao,SSD,East,182.74,34.31,1,2026-01-05,Rohit Verma
1202,Suresh Babu,Keyboard,South,155.18,37.64,2,2026-02-27,Neha Singh
1203,Vikram Joshi,Mouse,North,237.33,32.32,3,2026-06-19,Rohit Verma
1204,Mohan Gupta,Keyboard,South,407.2,59.43,5,2026-04-23,Amit Kumar
1205,Naveen Rao,Headphones,East,844.44,232.33,6,2026-04-25,Neha Singh
1206,Lakshmi Devi,Monitor,South,1466.97,360.14,3,2026-04-05,Shalini Gupta
1207,Manish Yadav,Tablet,West,3154.44,771.26,4,2026-02-11,Neha Singh
1208,Bhavana Reddy,Keyboard,East,137.22,27.02,3,2026-05-22,Amit Kumar
1209,Tejas Rao,SSD,East,114.16,27.64,1,2026-04-26,Karthik Rao
1210,Vikram Joshi,Webcam,West,210.89,32.8,1,2026-03-31,Amit Kumar
1211,Naveen Rao,Laptop,North,5407.24,852.85,4,2026-04-06,Neha Singh
1212,Rahul Sharma,Headphones,South,157.48,35.27,1,2026-02-05,Amit Kumar
1213,Suresh Babu,Tablet,West,4990.68,1204.82,6,2026-04-25,Karthik Rao
1214,Rahul Sharma,Mouse,West,37.91,9.61,1,2026-01-29,Rohit Verma
1215,Deepak Nair,Printer,West,164.32,30.76,1,2026-01-17,Amit Kumar
1216,Ajay Patel,Tablet,South,3126.2,691.24,5,2026-02-06,Rohit Verma
1217,Naveen Rao,Laptop,South,6087.65,1286.36,5,2026-06-20,Shalini Gupta
1218,Arjun Patel,SSD,North,218.58,44.63,3,2026-04-10,Pooja Mehta
1219,Priya Reddy,Webcam,North,279.36,34.25,3,2026-03-30,Neha Singh
1220,Anita Singh,Mouse,North,357.3,61.89,5,2026-04-01,Karthik Rao
1221,Kavya Rani,Keyboard,South,546.66,126.42,6,2026-02-04,Amit Kumar
1222,Tejas Rao,Tablet,South,455.41,57.84,1,2026-01-11,Rohit Verma
1223,Sonia Das,Printer,West,1347.35,337.46,5,2026-03-06,Amit Kumar
1224,Rakesh Kumar,Monitor,East,882.69,216.2,3,2026-03-11,Amit Kumar
1225,Bhavana Reddy,Headphones,West,658.12,157.24,4,2026-03-28,Neha Singh
1226,Rohan Das,Tablet,North,2691.06,546.51,3,2026-04-19,Amit Kumar
1227,Naveen Rao,Keyboard,East,361.55,49.32,5,2026-06-19,Rohit Verma
1228,Suresh Babu,Tablet,West,3761.8,551.72,5,2026-03-31,Pooja Mehta
1229,Priya Reddy,Headphones,North,898.7,147.32,5,2026-01-20,Shalini Gupta
1230,Nikhil Verma,Webcam,South,411.66,98.79,3,2026-01-08,Neha Singh
1231,Keerthi Rao,Tablet,East,338.36,53.38,1,2026-04-03,Pooja Mehta
1232,Manish Yadav,Laptop,East,5190.45,996.5,5,2026-04-06,Pooja Mehta
1233,Rakesh Kumar,Mouse,East,148.2,26.49,5,2026-06-16,Rohit Verma
1234,Deepak Nair,Mouse,West,71.5,14.29,1,2026-05-24,Amit Kumar
1235,Meera Iyer,Printer,East,1703.28,475.93,6,2026-06-27,Pooja Mehta
1236,Kiran Naidu,Mouse,West,159.4,30.66,2,2026-01-23,Shalini Gupta
1237,Keerthi Rao,Headphones,East,531.84,69.35,6,2026-03-18,Neha Singh
1238,Tejas Rao,Keyboard,South,287.88,40.14,3,2026-02-05,Neha Singh
1239,Bhavana Reddy,Tablet,West,502.63,106.34,1,2026-05-22,Neha Singh
1240,Swathi Reddy,Mouse,West,41.65,11.66,1,2026-05-15,Pooja Mehta
1241,Rakesh Kumar,Webcam,North,312.7,86.17,5,2026-04-26,Pooja Mehta
1242,Pooja Sharma,SSD,South,253.14,63.96,3,2026-02-03,Pooja Mehta
1243,Pavan Kumar,Laptop,South,1366.29,230.44,1,2026-03-24,Shalini Gupta
1244,Deepak Nair,Headphones,East,826.45,211.03,5,2026-02-20,Shalini Gupta
1245,Lakshmi Devi,Printer,North,675.02,147.36,2,2026-05-09,Shalini Gupta
1246,Anjali Gupta,Keyboard,East,224.92,52.92,2,2026-05-25,Amit Kumar
1247,Ajay Patel,Laptop,East,940.92,209.48,1,2026-06-16,Neha Singh
1248,Rakesh Kumar,Webcam,East,793.15,158.38,5,2026-06-14,Rohit Verma
1249,Rohan Das,Monitor,North,1859.7,358.12,6,2026-02-10,Pooja Mehta
1250,Naveen Rao,Tablet,East,1571.28,341.07,4,2026-03-23,Shalini Gupta
